row_index,label,pyod_batch_score,fixed_training_reference_score
2253,0,35.03474486718662,31.713499020143146
8265,0,18.539116009297434,17.540704962635658
7348,0,22.026485156402416,21.72294999192417
5523,0,18.473123331013987,17.6993887406956
8721,0,21.091584507867108,21.471422776980102
3452,0,20.286608123874164,20.848094806215826
595,0,32.72897907002991,35.39534403894829
6686,0,24.308537345490688,26.81295222842556
4850,0,24.766345159613472,29.073613376499072
4167,0,29.069310294945424,31.770644606637294
2856,0,21.09085237944315,22.612686710800297
6897,0,24.73605782748065,27.441143481140152
7534,0,33.87909629541777,34.551608985622366
7305,0,24.61625980814989,24.647683377955822
7526,0,17.49623620412016,18.69980918850497
615,0,19.9699507503426,21.594502312753164
4344,0,25.536453174670818,24.398377851112237
6175,0,33.271137898822126,29.077428035555666
3860,0,19.611058612780663,18.176610130260112
7605,0,20.395698060705268,21.282470727415248
1214,0,26.965355026462536,24.832255456986147
5315,0,29.75632813565119,32.804542001787695
8864,0,25.899636695235426,24.67360015982379
274,0,23.412580765132528,24.559502553521376
873,0,39.60530119418014,36.19001240625827
1455,0,40.84532135882504,36.4992857304386
4762,0,17.041377466454435,18.11058679689725
7720,0,30.0611046614222,27.278665842661614
6331,0,26.93406218447105,25.458480991818814
9605,0,23.272400140736178,23.701962334838203
3857,0,22.510546965330317,25.274069036505804
3985,0,24.824305806412127,28.54696552622785
1295,0,23.92960751376771,23.443301528250498
781,0,25.706732952735685,28.19467180308311
2268,0,36.420079977363514,35.642924804985334
1635,0,21.00274791109075,21.281722423972116
6758,0,22.800645886918335,24.84055449062605
9725,0,22.84776199488801,25.773551335071836
9001,0,25.020965746161547,25.254230552691993
600,0,35.74786099599088,34.19023316163725
9098,0,26.63779743507287,25.592552949229855
8588,0,28.111173628743092,27.514911612792584
435,1,21.059061149605782,23.560321581211703
4349,0,50.38518075120254,46.42987114545706
4353,0,21.135652746080844,23.99100960914257
791,0,30.72216446383476,28.40676791817066
6425,0,30.18380949119468,29.65326368252593
3151,1,29.9538671805143,29.54096588539458
4276,0,34.099994630295875,31.753650309181925
2631,0,24.678723102604202,24.64213186727272
2504,0,21.70136449529567,20.618236360328613
6878,0,25.74177932497817,26.5307361787442
6284,0,27.04310197849624,25.769981837387984
9788,0,20.53319020271509,21.89823156000473
8657,0,41.575359827932544,36.467707297309815
6413,0,19.674190409001206,22.22416738158514
1838,0,23.97703488004126,22.704835439279844
3912,0,20.06633141829685,20.10957660992011
1752,0,29.247440813979967,25.918771290274037
9573,0,27.556112297600787,24.2837745580578
7537,0,35.413253855400555,33.70899317222146
4903,0,25.6982796059458,24.76222683356076
1531,0,20.0391172343071,21.147024421513358
3426,0,29.878291636301523,30.53695947369502
151,0,28.450001605088815,27.91905347053915
1749,0,31.69619690706825,31.437947675518753
1535,0,25.4089998318775,27.707387262687657
5561,0,24.44113658616547,23.22757335233749
8238,0,22.548146641040134,24.481385719954172
128,0,32.06655477893046,30.76287621624059
469,1,21.021384432346345,18.601318168635935
9021,0,25.59688142612608,24.801138058241925
4283,0,27.489778776854152,26.992540171193305
1317,1,22.938924881944075,22.71133692733328
6972,0,32.953907603407586,33.74771746512419
3116,0,19.94036670825655,20.47752378433016
3680,0,17.849852519967236,16.955210655185724
2012,0,32.55587926984819,28.73198157512629
9154,0,28.34745556513481,29.87850570917477
4924,0,20.9496633791955,22.98998006208884
2134,0,39.51829855313211,36.902616989601455
9879,0,26.90440144776291,26.588799342707233
4002,0,36.067989437654866,33.06691504940597
7977,0,26.465332051300678,25.23392087143116
2454,0,18.214967077581544,19.521449199635224
8810,0,44.39673443088297,38.44025756721352
5148,0,26.259485449806643,25.4582150735564
5953,0,22.09060081305332,21.39427893815458
5757,0,34.25489148847596,34.75655082128828
6774,0,19.92318553648931,23.46078349230907
2678,0,27.44130671307323,31.901992999866756
7598,0,20.426858325878055,21.477438794392352
6268,0,32.400507666622154,34.14759989501235
1109,0,22.42071408087231,21.880549196507705
5234,0,27.89408265590022,25.98779588714042
5438,0,40.78180924164302,38.41546664457279
2535,0,30.09322898399396,29.370465317331586
8030,0,24.414952078491492,24.148009867300612
9827,0,24.9984937934757,21.81259133276775
2226,1,20.732296599637586,21.058600516585244
7873,0,24.81915671833603,26.916848937409576
8972,0,20.983382310836756,19.934286232851523
9811,0,18.673606623374976,20.022476699766557
4293,0,22.59887468205939,22.732864860908123
8056,0,23.395260173798842,25.419916204719673
555,0,25.187555256447737,25.91404900070615
4123,0,19.857248791681563,20.27087626368518
8978,0,21.43677970275482,23.26810802728145
6194,0,40.32296903155993,40.98760410032409
610,0,24.911534825522434,22.72006698219121
2628,0,33.58129984617486,29.816549775534767
9792,0,38.27216742028431,35.22708566123131
6956,0,37.45068318703897,33.7065154107892
6645,0,21.624190383255428,18.577587137455772
5911,0,33.12911757875511,37.910381832010636
6200,0,21.97455240861185,23.563398956335988
4043,0,21.364480290178978,21.271529817326876
3103,0,22.64323024610987,23.80428860156009
4660,0,33.28392873886405,31.879375841703013
9009,0,29.44684216791667,31.70213721769544
6887,0,24.517224689978008,22.823636745804794
2331,0,21.091570053919455,19.95879392422917
6709,0,29.82578630261336,27.894055388951607
4354,0,34.3000246655867,31.993559295486737
404,0,18.938809316516178,19.978904669559153
4890,0,26.471707721060245,24.161936633812527
7689,0,17.853555218691458,19.4237937043206
9274,0,20.885502817424786,22.93015346979397
6858,1,29.841794741838083,24.147629164720797
8476,0,24.58517162127221,22.62266212312201
7780,0,37.00680715993312,39.04050655502522
2419,0,19.787788522327975,19.60015686630878
6718,0,36.32584762752604,36.783320009919386
934,0,38.05562878342117,35.64059063627607
2664,0,31.281717707133076,32.362086647744384
6881,0,28.379739162656094,29.00468378333126
2946,0,22.93833325260092,21.66896438888393
2144,0,28.969463175599913,28.024465603986126
989,0,22.91491749979216,23.60266258278718
2719,0,31.75302162269113,29.283850648134173
3602,1,28.148452278853973,27.67536250892383
2339,0,23.73180524540381,25.398107097212765
118,0,28.166872580292996,28.456155866534466
1543,0,25.58476009481187,26.937288374676285
5320,0,22.33584651289593,25.878369358620866
925,0,27.618724198376828,30.87136054339069
1680,0,25.832619901989794,25.906205020909418
588,0,18.114180415121844,20.645077332989235
9248,0,46.35980480656672,40.877796045151214
3930,0,25.866156819367944,25.15193742221861
5132,0,24.289821488466238,25.23557940160079
3024,0,21.487004941120944,21.961836881654587
8219,0,35.70617253782222,32.69472390755157
1877,0,20.628866706988866,19.653562428814613
6678,0,28.423027933743484,28.616696672400717
6474,0,29.569916476036806,27.583089869739904
4616,0,29.752729432636517,32.10474895359771
982,0,23.085104876625955,21.080535808746948
7889,0,23.736272548679878,26.236727741281346
167,0,36.936206987380196,32.90823881051852
5136,1,34.23834741215796,34.71385788538741
9502,0,28.527838850783436,26.972676252219287
8633,0,21.578578852588905,20.640831544665822
9414,0,21.889675692969302,23.149438150544498
2656,0,28.47565332168605,24.520382776861176
7292,0,17.9481575906368,17.677402848868706
6255,0,24.794641616949377,23.416771219463577
6509,0,24.68330309086761,24.905566633547075
3197,0,27.503724644040474,25.960063664144464
3568,0,19.78344885444792,19.04187893087
5912,0,19.14991308024914,22.353266955978576
8078,0,20.790907940873723,20.753574976304932
6917,0,21.34729987084723,22.082211718290406
1859,0,24.18369445126401,22.4533225774234
4193,1,25.316819305534338,24.67708073200292
2301,0,33.86122711483152,30.08730988126657
3789,0,32.97188700917108,29.207019506741634
2170,0,17.99947027153024,16.27948971115164
2408,0,31.249437887364024,30.47162926442054
4000,0,18.43369101131479,20.79491435272022
7150,0,21.626884397838836,21.998108436518542
3656,0,27.970294806891108,26.622880444103778
5019,1,22.155112945601925,21.384502297511244
7427,0,19.783676225135707,19.48592655882934
1779,0,18.859223959357617,18.410554023016157
933,0,35.73127016468083,36.647915167233684
2406,0,18.691879691403436,19.652743824347706
1644,0,17.526280282432467,18.651194973632432
5986,0,25.68278543138685,25.193991808356056
5591,0,25.3395613130641,25.167909322162448
5022,0,27.95566089147838,28.28438909453632
1364,0,24.798337759618796,24.057135053690658
9867,0,34.35235172035574,32.66743181185825
9169,0,23.6497118337504,26.174678225351816
2641,0,25.12630210616726,24.238424809020273
541,0,19.50161124134766,20.579336022710915
4497,1,23.954292756251686,23.99344215228267
6161,0,27.54508340003113,28.392527949172106
1141,0,26.140833572544103,23.827040673761367
1829,0,25.55805189052071,23.761673460175277
8526,0,35.78585396176925,36.433801075197415
8593,0,35.465968711976444,33.49622198940926
7191,0,20.26476376494014,23.56913202239749
8134,0,20.76576448962129,20.327268978711242
9234,0,20.808900627686185,21.684271638776345
7083,0,24.855043714495814,26.49895961272242
240,0,17.571101100850363,17.10760862299609
1966,0,29.928171858812135,29.89007851277051
4524,0,30.312298064348308,29.80052225932532
7100,0,25.587785399770222,24.735141254408404
6983,0,30.980667189197963,29.56573183111617
6146,0,33.057651724969055,34.1517450160865
2175,0,22.062741257835736,25.07988080842082
204,0,22.963240694912585,23.085997448371756
928,0,19.55637941683914,19.873884906277517
6298,0,30.718411159588598,30.956391186635557
5525,0,26.41829067797178,26.037147004735385
1780,0,23.516681001628626,23.70173382934162
7485,0,17.55650019517509,16.739757817178766
2013,0,23.918523792749742,23.642474047174492
