class,feature,count,mean,std,min,1%,50%,99%,max
normal,x01,9500.0,0.01509397132700017,0.9929304528887035,-3.9646566220354025,-2.363917321977538,0.020411968893364496,2.2952020363776047,3.8814212829053902
normal,x02,9500.0,0.0012339173260063905,0.9846606346284748,-4.246680603777093,-2.3278832153200355,0.01476639864705073,2.2788630219780415,3.93933016121634
normal,x03,9500.0,0.004801859366505251,0.993258250630794,-4.4266366025007775,-2.3663096064573277,0.007929887294929376,2.254868797912102,3.748477810588814
normal,x04,9500.0,0.02258512644403891,0.9956362791014559,-4.032323428136227,-2.253684256652658,0.019195746434362237,2.3516614842074945,3.9019119228724275
normal,x05,9500.0,0.00906442630665875,0.9911598163707834,-3.860682565496417,-2.302603859813555,0.019377744966656712,2.3030087009548135,3.7432926915775915
normal,x06,9500.0,0.0021252821216626353,1.0095284804272957,-3.7376477369927503,-2.3741229092962257,0.0007710828377986583,2.3765833160205148,3.4597205362877292
normal,x07,9500.0,0.007092375981896912,1.0107090135671082,-3.722111138504612,-2.3795190111382847,0.02139528707562978,2.3614623094311353,3.7543300386317084
normal,x08,9500.0,0.0009538307144443261,1.0066511219601773,-3.730185662224141,-2.3312760435589945,0.007314750875131439,2.2975287222911915,3.6283039843052554
normal,x09,9500.0,0.0030204222159513944,1.008425484643592,-3.80044665958393,-2.402127053930669,0.01659917666222318,2.368560453528388,4.31602139483506
normal,x10,9500.0,0.010029845049042262,1.014334423187939,-3.8073626566180034,-2.3267771836833515,0.011946850269272469,2.32819661238563,3.8567181911815873
normal,x11,9500.0,0.012366267763572202,0.9902870964625585,-4.082355180356479,-2.3033196921731616,0.0006294053715182508,2.327164142103516,3.5870551184778514
normal,x12,9500.0,0.016414415399131778,0.9951859135467217,-3.3456419870220744,-2.319430900719964,0.0106039569151632,2.2854064609934572,3.3082644889670356
normal,x13,9500.0,0.009506053269503236,0.983923885567022,-4.179794287231625,-2.2899389509373695,0.010977040097446853,2.296924208473464,3.706600633936435
normal,x14,9500.0,-0.0016737667909160253,0.9899425529274686,-3.6406242723967632,-2.3579766224559258,0.004444749373647186,2.2930382729476846,4.0026566301608515
normal,x15,9500.0,0.0124485671244336,0.9927751174197939,-3.722768290560914,-2.289460816560148,0.007330827276309404,2.3625228165248897,3.358155805341613
normal,x16,9500.0,-0.005246704372939545,1.0091297535013986,-3.9113138759843564,-2.325642611207473,-0.009404483067723617,2.277281942396879,3.6229492085286163
normal,x17,9500.0,4.842783647902288e-05,0.9996957246511619,-3.385951238015481,-2.352729366969668,-0.0016876374238729763,2.3249088466786856,3.3694878119500156
normal,x18,9500.0,-0.00641554072183049,1.0028156353529354,-3.6728507882621697,-2.3534414060414957,-0.004704629350054189,2.3248647986389344,3.6361867652017525
normal,x19,9500.0,-0.004593146975660982,0.9965597244822603,-3.828729361838362,-2.36627205891351,0.00045243326432137005,2.3540316209771484,3.5637439910427697
normal,x20,9500.0,-0.00295568676940786,1.0030098852665013,-3.7038608860470275,-2.371661585507383,-0.008632274763124798,2.331171583296522,3.772743773156602
anomaly,x01,500.0,-0.023223159469978022,1.312760610907189,-6.025056941626291,-4.235443220978286,-0.009852005327521948,3.676175003797842,5.647026473731342
anomaly,x02,500.0,-0.02939042118052995,1.393470261090184,-6.219164976887869,-4.302895301326592,-0.016455257231125876,4.170567002227234,5.774818830800407
anomaly,x03,500.0,0.01381785932651617,1.447085894533673,-5.390459969628262,-3.7547331350095496,-0.031502531559313915,5.15976173119023,6.56646717608057
anomaly,x04,500.0,-0.09292483673539315,1.3608401711784859,-5.173270279312593,-4.44645540808982,-0.013777237563056734,3.8475392670880146,5.453421355522706
anomaly,x05,500.0,-0.025590903971780307,1.3599105847436062,-4.978464337458869,-3.7798735102676653,-0.13885760668495484,4.902774962560218,6.114508434401103
anomaly,x06,500.0,0.05791807162746483,1.2754418738151445,-5.712650571245406,-3.810707019216026,0.07421069173125802,3.8727917703855037,4.936085802592901
anomaly,x07,500.0,-0.03314431356959195,1.3764204517836747,-6.452205672507864,-4.84521914870378,0.034840944770912805,4.1218896039404775,5.441684689421335
anomaly,x08,500.0,0.007430652976820731,1.3690225379097614,-6.392967390465044,-4.4125944521952425,0.007120568515974656,4.307891632607149,6.373222321263233
anomaly,x09,500.0,-0.004933468177203334,1.2610252600404468,-4.764241997584573,-3.362296907975933,-0.012710073846815054,4.069880483369116,5.175923030172169
anomaly,x10,500.0,0.052062525064048445,1.4217577364445635,-6.524930588319926,-4.283888334789967,0.05969780952074173,4.032721561009264,5.701559186326598
anomaly,x11,500.0,-0.019593955304497784,1.326854442881246,-5.172629678371191,-4.313686965547477,-0.023448852147841863,3.7946553157042593,4.842625813545803
anomaly,x12,500.0,0.02882976715909421,1.3442353160630212,-5.6122424233174835,-3.8689142214262278,-0.004058596343726432,4.321403284126248,4.952153087751997
anomaly,x13,500.0,0.08384779934495089,1.4635144127891064,-5.987678008583219,-3.8667580830912263,0.034514343872864506,5.016276223572575,5.9415723612951545
anomaly,x14,500.0,0.041763745329488344,1.39619856315933,-6.170479990805003,-3.8561115016766037,0.018267634836043475,4.610763557056374,5.613238479860486
anomaly,x15,500.0,0.03445459119811959,1.3842928518462951,-5.402203174882818,-4.326609246438177,0.08235094160964711,4.034750860080171,4.921766608425636
anomaly,x16,500.0,0.08247279281767711,1.3535640380014309,-5.798224725276727,-3.1164993857299232,0.07603775693051205,4.16682811080139,5.958340945661378
anomaly,x17,500.0,0.03796169719553426,1.2947168541048477,-4.639162779105859,-3.8237271483429978,0.020865041905769436,4.15957594611303,5.146870755884564
anomaly,x18,500.0,0.1017674169627202,1.3638089428358535,-6.462322970670589,-4.247988600145416,0.10998458929756771,4.61434914555019,5.424576172658476
anomaly,x19,500.0,0.07563100019478834,1.3101290214513766,-6.165423964638309,-4.363250128650496,0.14651968429626072,3.96598359316703,5.42165734857643
anomaly,x20,500.0,0.051966494705057674,1.27208163736273,-4.918714925907336,-3.7858060184571323,0.05964634426538554,4.051311575584824,5.54582372710785
