scenario,data_seed,split_seed,roc_auc_standard,average_precision_standard,roc_auc_fixed,average_precision_fixed,roc_auc_difference,average_precision_difference
marginal_shift,42,42,0.7056447368421053,0.0962993241123755,0.7028197368421052,0.0940068978492188,-0.0028250000000000774,-0.002292426263156705
dependence_violation,42,42,0.5556539473684211,0.0506966388155543,0.5591671052631579,0.0512529462063056,0.003513157894736829,0.0005563073907512983
marginal_shift,43,42,0.7294026315789474,0.1108772921876093,0.7326947368421052,0.1123188371439625,0.0032921052631578185,0.001441544956353194
dependence_violation,43,42,0.5421973684210526,0.0492408965230189,0.5506407894736842,0.0503088838580314,0.008443421052631628,0.0010679873350125033
marginal_shift,44,42,0.7203342105263157,0.1103557619728735,0.7063289473684211,0.0997371400352798,-0.014005263157894632,-0.010618621937593706
dependence_violation,44,42,0.544675,0.0494794820132847,0.5426605263157894,0.0494815957765153,-0.0020144736842105937,2.1137632306017506e-06
marginal_shift,45,42,0.7323171052631577,0.1048225540279046,0.7320263157894736,0.1023188844398661,-0.00029078947368410546,-0.002503669588038493
dependence_violation,45,42,0.5226723684210527,0.0472174182021791,0.5093407894736842,0.0461182574809772,-0.013331578947368472,-0.0010991607212018986
marginal_shift,46,42,0.7077736842105262,0.0897350256713785,0.7041539473684211,0.094002776431295,-0.003619736842105148,0.0042677507599164916
dependence_violation,46,42,0.5322815789473684,0.0485204347670059,0.5304868421052631,0.0483076254938031,-0.0017947368421052934,-0.00021280927320279502
